Step,Velocity²
447,3.813074298424406e-07
448,3.830115233472775e-07
449,3.8471941575206326e-07
450,3.864311070525264e-07
451,3.881465972443856e-07
452,3.898658863233503e-07
453,3.9158897428512014e-07
454,3.933158611253856e-07
455,3.9504654683982745e-07
456,3.9678103142411725e-07
457,3.985193148739168e-07
458,4.002613971848786e-07
459,4.020072783526455e-07
460,4.0375695837285113e-07
461,4.055104372411194e-07
462,4.0726771495306473e-07
463,4.090287915042923e-07
464,4.1079366689039775e-07
465,4.1256234110696687e-07
466,4.1433481414957657e-07
467,4.161110860137938e-07
468,4.1789115669517625e-07
469,4.196750261892721e-07
470,4.2146269449162e-07
471,4.2325416159774913e-07
472,4.250494275031795e-07
473,4.26848492203421e-07
474,4.2865135569397463e-07
475,4.304580179703317e-07
476,4.322684790279739e-07
477,4.340827388623736e-07
478,4.3590079746899384e-07
479,4.3772265484328787e-07
480,4.3954831098069967e-07
481,4.4137776587666363e-07
482,4.432110195266048e-07
483,4.450480719259386e-07
484,4.4688892307007113e-07
485,4.4873357295439883e-07
486,4.505820215743089e-07
487,4.5243426892517884e-07
488,4.542903150023767e-07
489,4.561501598012613e-07
490,4.580138033171817e-07
491,4.598812455454776e-07
492,4.617524864814792e-07
493,4.636275261205073e-07
494,4.655063644578732e-07
495,4.673890014888786e-07
496,4.692754372088159e-07
497,4.7116567161296796e-07
498,4.73059704696608e-07
499,4.7495753645500013e-07
500,4.768591668833987e-07
501,4.787645959770487e-07
502,4.806738237311855e-07
503,4.825868501410352e-07
504,4.845036752018144e-07
505,4.8642429890873e-07
506,4.883487212569799e-07
507,4.902769422417519e-07
508,4.922089618582247e-07
509,4.941447801015677e-07
510,4.960843969669404e-07
511,4.980278124494932e-07
512,4.999750265443667e-07
513,5.019260392466923e-07
514,5.038808505515919e-07
515,5.058394604541777e-07
516,5.078018689495528e-07
517,5.097680760328102e-07
518,5.117380816990344e-07
519,5.137118859432993e-07
520,5.156894887606703e-07
521,5.17670890146203e-07
522,5.196560900949431e-07
523,5.216450886019275e-07
524,5.236378856621833e-07
525,5.25634481270728e-07
526,5.2763487542257e-07
527,5.296390681127079e-07
528,5.31647059336131e-07
529,5.33658849087819e-07
530,5.356744373627422e-07
531,5.376938241558616e-07
532,5.397170094621287e-07
533,5.417439932764851e-07
534,5.437747755938634e-07
535,5.458093564091867e-07
536,5.478477357173682e-07
537,5.498899135133123e-07
538,5.519358897919135e-07
539,5.539856645480568e-07
540,5.560392377766178e-07
541,5.580966094724629e-07
542,5.601577796304486e-07
543,5.622227482454224e-07
544,5.642915153122219e-07
545,5.663640808256756e-07
546,5.684404447806022e-07
547,5.70520607171811e-07
548,5.726045679941023e-07
549,5.746923272422661e-07
550,5.767838849110838e-07
551,5.788792409953268e-07
552,5.809783954897571e-07
553,5.830813483891272e-07
554,5.851880996881809e-07
555,5.872986493816509e-07
556,5.894129974642621e-07
557,5.915311439307291e-07
558,5.936530887757571e-07
559,5.957788319940419e-07
560,5.979083735802703e-07
561,6.000417135291188e-07
562,6.021788518352546e-07
563,6.043197884933362e-07
564,6.06464523498012e-07
565,6.086130568439209e-07
566,6.107653885256927e-07
567,6.129215185379474e-07
568,6.150814468752957e-07
569,6.172451735323387e-07
570,6.194126985036684e-07
571,6.215840217838669e-07
572,6.23759143367507e-07
573,6.259380632491523e-07
574,6.281207814233567e-07
575,6.303072978846645e-07
576,6.324976126276106e-07
577,6.346917256467211e-07
578,6.368896369365112e-07
579,6.390913464914883e-07
580,6.41296854306149e-07
581,6.435061603749813e-07
582,6.457192646924634e-07
583,6.479361672530643e-07
584,6.501568680512429e-07
585,6.523813670814493e-07
586,6.546096643381239e-07
587,6.568417598156977e-07
588,6.590776535085922e-07
589,6.613173454112193e-07
590,6.635608355179817e-07
591,6.658081238232726e-07
592,6.680592103214754e-07
593,6.703140950069646e-07
594,6.725727778741049e-07
595,6.748352589172515e-07
596,6.771015381307505e-07
597,6.793716155089379e-07
598,6.816454910461409e-07
599,6.83923164736677e-07
600,6.862046365748539e-07
601,6.884899065549707e-07
602,6.907789746713163e-07
603,6.930718409181702e-07
604,6.953685052898027e-07
605,6.976689677804747e-07
606,6.999732283844375e-07
607,7.022812870959325e-07
608,7.045931439091928e-07
609,7.069087988184409e-07
610,7.092282518178905e-07
611,7.115515029017454e-07
612,7.138785520642004e-07
613,7.162093992994403e-07
614,7.185440446016413e-07
615,7.208824879649694e-07
616,7.232247293835813e-07
617,7.255707688516245e-07
618,7.279206063632367e-07
619,7.302742419125465e-07
620,7.326316754936726e-07
621,7.349929071007249e-07
622,7.373579367278031e-07
623,7.397267643689982e-07
624,7.420993900183911e-07
625,7.444758136700536e-07
626,7.46856035318048e-07
627,7.492400549564273e-07
628,7.516278725792345e-07
629,7.54019488180504e-07
630,7.564149017542598e-07
631,7.588141132945173e-07
632,7.612171227952817e-07
633,7.636239302505496e-07
634,7.660345356543075e-07
635,7.684489390005327e-07
636,7.708671402831927e-07
637,7.732891394962461e-07
638,7.757149366336418e-07
639,7.781445316893193e-07
640,7.805779246572085e-07
641,7.8301511553123e-07
642,7.85456104305295e-07
643,7.879008909733049e-07
644,7.903494755291524e-07
645,7.928018579667197e-07
646,7.952580382798805e-07
647,7.977180164624988e-07
648,8.001817925084288e-07
649,8.026493664115154e-07
650,8.051207381655944e-07
651,8.075959077644918e-07
652,8.100748752020243e-07
653,8.125576404719992e-07
654,8.150442035682141e-07
655,8.175345644844577e-07
656,8.200287232145084e-07
657,8.225266797521359e-07
658,8.250284340911005e-07
659,8.275339862251521e-07
660,8.300433361480323e-07
661,8.325564838534726e-07
662,8.350734293351954e-07
663,8.375941725869135e-07
664,8.401187136023301e-07
665,8.426470523751393e-07
666,8.451791888990254e-07
667,8.477151231676635e-07
668,8.502548551747191e-07
669,8.527983849138486e-07
670,8.553457123786987e-07
671,8.578968375629062e-07
672,8.604517604600996e-07
673,8.630104810638968e-07
674,8.65572999367907e-07
675,8.681393153657299e-07
676,8.707094290509551e-07
677,8.732833404171633e-07
678,8.758610494579261e-07
679,8.784425561668051e-07
680,8.810278605373526e-07
681,8.836169625631113e-07
682,8.86209862237615e-07
683,8.888065595543876e-07
684,8.914070545069435e-07
685,8.940113470887879e-07
686,8.966194372934168e-07
687,8.992313251143162e-07
688,9.018470105449629e-07
689,9.044664935788243e-07
690,9.070897742093586e-07
691,9.097168524300143e-07
692,9.123477282342301e-07
693,9.149824016154361e-07
694,9.176208725670524e-07
695,9.202631410824896e-07
696,9.229092071551492e-07
697,9.255590707784231e-07
698,9.28212731945694e-07
699,9.308701906503346e-07
700,9.335314468857088e-07
701,9.361965006451706e-07
702,9.38865351922065e-07
703,9.41538000709727e-07
704,9.442144470014828e-07
705,9.468946907906486e-07
706,9.495787320705315e-07
707,9.522665708344292e-07
708,9.5495820707563e-07
709,9.576536407874121e-07
710,9.603528719630455e-07
711,9.630559005957895e-07
712,9.65762726678895e-07
713,9.684733502056027e-07
714,9.711877711691441e-07
715,9.739059895627415e-07
716,9.766280053796077e-07
717,9.79353818612946e-07
718,9.8208342925595e-07
719,9.848168373018047e-07
720,9.875540427436846e-07
721,9.902950455747553e-07
722,9.930398457881736e-07
723,9.95788443377085e-07
724,9.98540838334628e-07
725,1.0012970306539298e-06
726,1.004057020328109e-06
727,1.0068208073502746e-06
728,1.0095883917135263e-06
729,1.0123597734109543e-06
730,1.015134952435639e-06
731,1.017913928780652e-06
732,1.0206967024390552e-06
733,1.0234832734039011e-06
734,1.0262736416682328e-06
735,1.0290678072250836e-06
736,1.0318657700674776e-06
737,1.0346675301884297e-06
738,1.037473087580946e-06
739,1.040282442238021e-06
740,1.0430955941526425e-06
741,1.0459125433177865e-06
742,1.0487332897264218e-06
743,1.0515578333715053e-06
744,1.054386174245987e-06
745,1.0572183123428056e-06
746,1.060054247654891e-06
747,1.0628939801751643e-06
748,1.065737509896536e-06
749,1.068584836811908e-06
750,1.0714359609141728e-06
751,1.074290882196213e-06
752,1.0771496006509022e-06
753,1.0800121162711043e-06
754,1.0828784290496736e-06
755,1.0857485389794557e-06
756,1.0886224460532868e-06
757,1.0915001502639918e-06
758,1.0943816516043888e-06
759,1.0972669500672852e-06
760,1.1001560456454785e-06
761,1.1030489383317575e-06
762,1.1059456281189018e-06
763,1.1088461149996808e-06
764,1.1117503989668554e-06
765,1.1146584800131765e-06
766,1.1175703581313853e-06
767,1.120486033314214e-06
768,1.1234055055543853e-06
769,1.1263287748446127e-06
770,1.1292558411776003e-06
771,1.1321867045460425e-06
772,1.1351213649426237e-06
773,1.1380598223600202e-06
774,1.1410020767908987e-06
775,1.143948128227915e-06
776,1.1468979766637166e-06
777,1.1498516220909424e-06
778,1.1528090645022199e-06
779,1.1557703038901693e-06
780,1.1587353402473994e-06
781,1.1617041735665113e-06
782,1.1646768038400956e-06
783,1.1676532310607337e-06
784,1.1706334552209979e-06
785,1.1736174763134506e-06
786,1.1766052943306457e-06
787,1.1795969092651264e-06
788,1.1825923211094275e-06
789,1.1855915298560742e-06
790,1.1885945354975812e-06
791,1.1916013380264557e-06
792,1.1946119374351945e-06
793,1.1976263337162846e-06
794,1.2006445268622043e-06
795,1.2036665168654215e-06
796,1.2066923037183965e-06
797,1.209721887413578e-06
798,1.2127552679434068e-06
799,1.2157924453003137e-06
800,1.2188334194767208e-06
801,1.2218781904650397e-06
802,1.2249267582576731e-06
803,1.2279791228470145e-06
804,1.231035284225448e-06
805,1.2340952423853475e-06
806,1.2371589973190786e-06
807,1.240226549018997e-06
808,1.2432978974774487e-06
809,1.2463730426867702e-06
810,1.2494519846392902e-06
811,1.2525347233273257e-06
812,1.2556212587431858e-06
813,1.2587115908791694e-06
814,1.261805719727567e-06
815,1.2649036452806584e-06
816,1.2680053675307147e-06
817,1.271110886469998e-06
818,1.27422020209076e-06
819,1.277333314385244e-06
820,1.2804502233456833e-06
821,1.2835709289643018e-06
822,1.286695431233314e-06
823,1.2898237301449255e-06
824,1.2929558256913317e-06
825,1.2960917178647193e-06
826,1.2992314066572654e-06
827,1.3023748920611373e-06
828,1.3055221740684932e-06
829,1.3086732526714824e-06
830,1.311828127862244e-06
831,1.3149867996329079e-06
832,1.318149267975595e-06
833,1.3213155328824164e-06
834,1.3244855943454736e-06
835,1.3276594523568595e-06
836,1.3308371069086569e-06
837,1.3340185579929394e-06
838,1.3372038056017712e-06
839,1.3403928497272071e-06
